UserID,first_name,last_name,birthday,country,marital_status,number_of_kids,employment
317991,Lu***,Al*****,29.07.03,AR,1,2,Web Designer
241892,Ma****,Ro*******,10.11.99,AR,1,0,Banker
303376,Fr****,Ac****,25.07.84,AR,1,0,Kitchen staff
761992,Fr****,Go***,20.03.70,AR,1,0,Teaching Assistant
373318,Jo***,Ro***,05.10.71,AR,1,0,Administrative employee
938770,Ri*****,Ro***,16.12.59,AR,1,1,Professor
676003,Cr******,Ro*******,24.07.67,AR,0,0,Lawyer
169743,Li*****,Fe*******,19.09.68,AR,0,,Doctor
255073,Al****,Ga****,06.09.98,AR,0,2,Manager
468560,Ga******,Fe*******,18.04.60,AR,1,2,Lawyer
263592,Ni*****,Sa*****,03.10.01,AR,1,2,Banker
437022,Ga******,Ro*******,24.04.98,AR,0,,Teaching Assistant
189915,Ma*****,na*,22.08.73,AR,0,,Web Designer
660506,Ju**,Go***,30.11.04,AR,1,3,Librarian
302708,Ed*****,Fl****,08.11.04,AR,1,,Doctor
244162,Di***,Be*****,14.09.62,AR,1,0,Lawyer
774730,Se****,To****,06.09.76,AR,0,3,Web Designer
892754,Ro**,Go******,12.04.96,AR,,4,Consultant
100684,Ma*****,Me****,17.06.76,AR,,0,Administrative employee
100684,Ma*****,Me****,17.06.76,AR,,0,Administrative employee
911014,Ma*****,Me****,19.05.57,AR,1,1,Banker
601633,Ad*****,Lo***,18.09.79,AR,1,4,Banker
645054,Su*****,Ed**,10.04.57,AT,0,0,Professor
944932,Ka*******,Hu***,04.09.58,AT,,2,Web Designer
255830,Ch*******,Be****,26.12.59,AT,1,1,Professor
353527,Mo****,Mü****,17.05.56,AT,1,1,Teaching Assistant
930234,Su*****,Ba***,09.04.72,AT,0,,Banker
531937,Sa*****,Fu***,30.03.95,AT,0,2,Teaching Assistant
413250,Ma*****,Ma***,27.04.87,AT,0,0,Lawyer
601958,Ma*****,Sc*******,01.06.58,AT,1,2,Librarian
717019,Ch*******,Ed**,28.01.95,AT,,2,Administrative employee
596063,Ka*******,Fu***,05.04.72,AT,1,1,Teaching Assistant
308658,Br******,St*****,23.07.89,AT,1,,Administrative employee
744938,Ch*******,Le*****,27.03.52,AT,0,,Web Designer
764821,So***,Ed**,25.06.57,AT,0,4,Consultant
499175,El*******,Fu***,18.11.73,AT,1,,Kitchen staff
