,UserID,first_name,last_name,birthday,country,marital_status,number_of_kids,employment
0,400484,Silvia,Sanchez,20-11-2000,AR,0.0,2.0,Banker
1,282042,Juan,Diaz,29-03-1955,AR,,2.0,Administrative employee
2,430537,Norma,Diaz,03-04-1977,AR,0.0,,Lawyer
3,113561,Pablo,Gonzalez,17-02-1992,AR,0.0,0.0,Banker
4,137679,Markus,Pichler,28-01-1990,AT,0.0,0.0,Consultant
5,104532,Barbara,Huber,02-07-1952,AT,0.0,,Manager
6,282759,Michaela,Mayer,22-05-1993,AT,,0.0,Banker
7,435136,Michael,Bauer,14-04-1968,AT,1.0,4.0,Professor
8,287641,Barbara,Berger,17-09-1998,AT,0.0,0.0,Doctor
9,268495,Martina,Wagner,16-02-1975,AT,1.0,0.0,Lawyer
10,121948,Christoph,Berger,05-01-1990,AT,,1.0,Librarian
11,361542,Sabine,Berger,14-06-1975,AT,1.0,1.0,Consultant
12,277156,Zaur,Mamedov,27-08-1990,AZ,0.0,2.0,Lawyer
13,496577,Elnur,Quliyev,09-08-1967,AZ,0.0,0.0,Administrative employee
14,69163,Elcin,Babayev,26-05-1954,AZ,1.0,1.0,Manager
15,122129,Sevinc,Abbasov,07-09-1994,AZ,0.0,2.0,Administrative employee
16,54921,Sevinc,Aliyeva,22-06-1980,AZ,0.0,4.0,Librarian
17,428638,Elnur,Huseynov,04-12-1966,AZ,1.0,0.0,Doctor
18,184538,Aygun,Hesenov,14-12-1966,AZ,0.0,4.0,Manager
19,157256,Gunay,Abdullayev,22-02-1990,AZ,1.0,0.0,Manager
20,404533,Aygun,Huseynov,25-01-1989,AZ,0.0,3.0,Kitchen staff
21,182779,Arzu,Mamedov,29-05-1952,AZ,0.0,0.0,Lawyer
22,226079,Vuqar,Abbasov,04-01-1993,AZ,0.0,0.0,Manager
23,250269,Elcin,Aliyeva,25-06-1955,AZ,0.0,0.0,Consultant
24,296666,Sevda,Memmedov,01-01-1964,AZ,0.0,1.0,Kitchen staff
25,106103,Aygun,Memmedov,18-08-1965,AZ,0.0,2.0,Administrative employee
26,421229,Sevinc,Babayev,11-09-1958,AZ,1.0,0.0,Professor
27,98529,Sadia,Khan,16-12-1990,BD,0.0,,Kitchen staff
28,110232,Abdul,Islam,06-07-1981,BD,1.0,4.0,Administrative employee
29,251962,Sk,Chowdhury,31-05-1978,BD,,2.0,Teaching Assistant
30,418502,Nurul,Uddin,03-06-1955,BD,1.0,2.0,Administrative employee
31,488782,Kazi,Islam,08-06-1965,BD,0.0,1.0,Web Designer
32,194910,Md,Hasan,10-10-1959,BD,0.0,2.0,Consultant
33,196837,Sumon,Chowdhury,31-03-1954,BD,0.0,3.0,Web Designer
34,285188,Jannatul,Akter,18-07-1991,BD,1.0,1.0,Kitchen staff
35,300276,Md,Uddin,26-10-1997,BD,1.0,0.0,Banker
36,124282,Jannat,Hossain,26-06-1958,BD,,0.0,Lawyer
37,199878,Jannatul,Chowdhury,28-11-1985,BD,1.0,1.0,Kitchen staff
38,460071,Md,Ahmed,15-05-1951,BD,0.0,,Librarian
39,324040,Marc,Jacobs,20-12-1970,BE,1.0,4.0,Teaching Assistant
40,430615,Petya,Georgieva,12-11-1965,BG,0.0,0.0,Web Designer
41,353201,Gergana,Georgieva,08-01-1976,BG,1.0,,Manager
42,291728,Georgi,Ivanov,13-05-1955,BG,1.0,2.0,Librarian
43,147912,Neli,Ivanov,29-09-1973,BG,0.0,0.0,Teaching Assistant
44,337243,Gergana,Petrov,06-11-1997,BG,1.0,2.0,Kitchen staff
45,138786,Plamen,Petrov,24-02-1961,BG,0.0,2.0,Manager
46,354770,Nikolai,Georgiev,13-11-1979,BG,,2.0,Web Designer
47,242680,Елена,Ivanov,18-08-1970,BG,1.0,1.0,Doctor
48,391097,Георги,Petrov,27-01-1991,BG,1.0,0.0,Teaching Assistant
49,238151,Juliana,Lima,21-10-1992,BR,0.0,0.0,Librarian
50,387421,Aline,Souza,25-01-2003,BR,0.0,,Teaching Assistant
51,411184,Jose,Alves,17-05-1993,BR,0.0,0.0,Kitchen staff
52,60958,Lucas,Silva,27-01-1963,BR,1.0,1.0,Manager
53,302532,João,Oliveira,28-01-1957,BR,1.0,0.0,Banker
54,213992,Lucas,Ferreira,13-12-1999,BR,1.0,,Professor
55,464262,João,Gomes,01-12-1996,BR,1.0,1.0,Doctor
56,472226,Vanessa,Silva,06-03-1951,BR,0.0,1.0,Lawyer
57,62654,Julie,Lee,11-10-1960,CA,0.0,0.0,Doctor
58,356332,Kevin,Wong,09-06-1959,CA,0.0,0.0,Consultant
59,452335,Paul,Smith,05-02-1981,CA,1.0,3.0,Lawyer
60,75405,Mike,Chan,04-07-1972,CA,0.0,,Professor
61,455977,Andrew,Chan,11-03-1984,CA,,2.0,Consultant
62,361283,Julie,Brown,16-05-1954,CA,1.0,2.0,Web Designer
63,470140,Melissa,Gill,12-06-1959,CA,,,Administrative employee
64,399610,Mike,Brown,11-01-1982,CA,,,Professor
65,488065,Mike,Li,14-12-1963,CA,0.0,1.0,Librarian
66,465823,Jennifer,Sharma,09-09-1982,CA,,,Web Designer
67,132672,Melissa,Lee,13-04-1986,CA,,0.0,Teaching Assistant
68,64849,Andrew,Kaur,27-11-1950,CA,0.0,2.0,Consultant
69,423400,Jennifer,Patel,14-06-1987,CA,1.0,,Kitchen staff
70,222589,Pascal,Rodrigues,12-06-1998,CH,1.0,0.0,Librarian
71,465432,Markus,Meier,15-11-1986,CH,1.0,1.0,Consultant
72,244554,Marcel,Meyer,26-08-1997,CH,1.0,1.0,Banker
